system_T,system,T,fixed_sequence,fixed_validation_mean_u_ctrl,terminal_rule_hash,variant,seed,J0_fixed_init,J0_safety,selected_checkpoint_id,selected_is_checkpoint_0,selected_validation_mean_u_ctrl,selected_validation_safety,selected_dominant_sequence,selected_dominant_fraction,selected_sequence_entropy,delta_vs_fixed_init,classification,telescope_ok,telescope_checks,include_checkpoint_zero,use_value_baseline
ieee5_T3,ieee5,3,"[18, 19, 25]",0.8250000000000001,c2e2af33cb68a5ea,V1_fixed_init_terminal,101,0.8250000000000001,1.0,0,True,0.8250000000000001,1.0,"[18, 19, 25]",1.0,-0.0,0.0,tied,True,0,True,False
ieee5_T3,ieee5,3,"[18, 19, 25]",0.8250000000000001,c2e2af33cb68a5ea,V1_fixed_init_terminal,202,0.8250000000000001,1.0,0,True,0.8250000000000001,1.0,"[18, 19, 25]",1.0,-0.0,0.0,tied,True,0,True,False
ieee5_T3,ieee5,3,"[18, 19, 25]",0.8250000000000001,c2e2af33cb68a5ea,V1_fixed_init_terminal,303,0.8250000000000001,1.0,24,False,0.8083333333333332,1.0,"[18, 19, 25]",0.8333333333333334,0.45056120886630463,-0.01666666666666683,improved,True,0,True,False
ieee5_T3,ieee5,3,"[18, 19, 25]",0.8250000000000001,c2e2af33cb68a5ea,V1_fixed_init_terminal,404,0.8250000000000001,1.0,0,True,0.8250000000000001,1.0,"[18, 19, 25]",1.0,-0.0,0.0,tied,True,0,True,False
ieee5_T3,ieee5,3,"[18, 19, 25]",0.8250000000000001,c2e2af33cb68a5ea,V1_fixed_init_terminal,505,0.8250000000000001,1.0,0,True,0.8250000000000001,1.0,"[18, 19, 25]",1.0,-0.0,0.0,tied,True,0,True,False
ieee5_T3,ieee5,3,"[18, 19, 25]",0.8250000000000001,c2e2af33cb68a5ea,V0_original,101,0.9083333333333335,1.0,22,False,0.8666666666666667,1.0,"[15, 11, 17]",1.0,-0.0,-0.04166666666666685,improved,True,0,False,False
ieee5_T3,ieee5,3,"[18, 19, 25]",0.8250000000000001,c2e2af33cb68a5ea,V0_original,202,0.8833333333333333,1.0,5,False,0.8999999999999999,1.0,"[16, 6, 26]",1.0,-0.0,0.016666666666666607,degraded,True,0,False,False
ieee5_T3,ieee5,3,"[18, 19, 25]",0.8250000000000001,c2e2af33cb68a5ea,V0_original,303,0.9416666666666668,1.0,4,False,0.8583333333333335,1.0,"[0, 2, 23]",1.0,-0.0,-0.08333333333333326,improved,True,0,False,False
ieee5_T3,ieee5,3,"[18, 19, 25]",0.8250000000000001,c2e2af33cb68a5ea,V0_original,404,0.8666666666666668,1.0,18,False,0.8583333333333335,1.0,"[22, 23, 15]",1.0,-0.0,-0.008333333333333304,improved,True,0,False,False
ieee5_T3,ieee5,3,"[18, 19, 25]",0.8250000000000001,c2e2af33cb68a5ea,V0_original,505,0.8999999999999999,1.0,1,False,0.8916666666666666,1.0,"[11, 14, 7]",1.0,-0.0,-0.008333333333333304,improved,True,0,False,False
ieee5_T4,ieee5,4,"[8, 19, 20, 28]",0.8166666666666668,c2e2af33cb68a5ea,V1_fixed_init_terminal,101,0.8166666666666668,1.0,0,True,0.8166666666666668,1.0,"[8, 19, 20, 28]",1.0,-0.0,0.0,tied,True,0,True,False
ieee5_T4,ieee5,4,"[8, 19, 20, 28]",0.8166666666666668,c2e2af33cb68a5ea,V1_fixed_init_terminal,202,0.8166666666666668,1.0,0,True,0.8166666666666668,1.0,"[8, 19, 20, 28]",1.0,-0.0,0.0,tied,True,0,True,False
ieee5_T4,ieee5,4,"[8, 19, 20, 28]",0.8166666666666668,c2e2af33cb68a5ea,V1_fixed_init_terminal,303,0.8166666666666668,1.0,0,True,0.8166666666666668,1.0,"[8, 19, 20, 28]",1.0,-0.0,0.0,tied,True,0,True,False
ieee5_T4,ieee5,4,"[8, 19, 20, 28]",0.8166666666666668,c2e2af33cb68a5ea,V1_fixed_init_terminal,404,0.8166666666666668,1.0,22,False,0.8166666666666665,1.0,"[8, 19, 28, 18]",1.0,-0.0,-2.220446049250313e-16,tied,True,0,True,False
ieee5_T4,ieee5,4,"[8, 19, 20, 28]",0.8166666666666668,c2e2af33cb68a5ea,V1_fixed_init_terminal,505,0.8166666666666668,1.0,0,True,0.8166666666666668,1.0,"[8, 19, 20, 28]",1.0,-0.0,0.0,tied,True,0,True,False
ieee5_T4,ieee5,4,"[8, 19, 20, 28]",0.8166666666666668,c2e2af33cb68a5ea,V0_original,101,0.8416666666666668,1.0,4,False,0.8416666666666668,1.0,"[15, 29, 22, 8]",1.0,-0.0,0.0,tied,True,0,False,False
ieee5_T4,ieee5,4,"[8, 19, 20, 28]",0.8166666666666668,c2e2af33cb68a5ea,V0_original,202,0.8583333333333334,1.0,1,False,0.85,1.0,"[16, 8, 28, 11]",1.0,-0.0,-0.008333333333333415,improved,True,0,False,False
ieee5_T4,ieee5,4,"[8, 19, 20, 28]",0.8166666666666668,c2e2af33cb68a5ea,V0_original,303,0.9083333333333333,1.0,10,False,0.9,1.0,"[27, 7, 22, 14]",0.9166666666666666,0.2868359830561607,-0.008333333333333304,improved,True,0,False,False
ieee5_T4,ieee5,4,"[8, 19, 20, 28]",0.8166666666666668,c2e2af33cb68a5ea,V0_original,404,0.8666666666666668,1.0,25,False,0.8416666666666667,1.0,"[22, 6, 26, 8]",0.75,0.5623351446188083,-0.025000000000000133,improved,True,0,False,False
ieee5_T4,ieee5,4,"[8, 19, 20, 28]",0.8166666666666668,c2e2af33cb68a5ea,V0_original,505,0.9083333333333332,1.0,16,False,0.8666666666666667,1.0,"[11, 21, 6, 18]",1.0,-0.0,-0.04166666666666652,improved,True,0,False,False
ieee9_T2,ieee9,2,"[13, 18]",0.9666666666666667,5b4c2191621b1bbc,V1_fixed_init_terminal,101,0.9666666666666667,1.0,0,True,0.9666666666666667,1.0,"[13, 18]",1.0,-0.0,0.0,tied,True,0,True,False
ieee9_T2,ieee9,2,"[13, 18]",0.9666666666666667,5b4c2191621b1bbc,V1_fixed_init_terminal,202,0.9666666666666667,1.0,0,True,0.9666666666666667,1.0,"[13, 18]",1.0,-0.0,0.0,tied,True,0,True,False
ieee9_T2,ieee9,2,"[13, 18]",0.9666666666666667,5b4c2191621b1bbc,V1_fixed_init_terminal,303,0.9666666666666667,1.0,0,True,0.9666666666666667,1.0,"[13, 18]",1.0,-0.0,0.0,tied,True,0,True,False
ieee9_T2,ieee9,2,"[13, 18]",0.9666666666666667,5b4c2191621b1bbc,V1_fixed_init_terminal,404,0.9666666666666667,1.0,0,True,0.9666666666666667,1.0,"[13, 18]",1.0,-0.0,0.0,tied,True,0,True,False
ieee9_T2,ieee9,2,"[13, 18]",0.9666666666666667,5b4c2191621b1bbc,V1_fixed_init_terminal,505,0.9666666666666667,1.0,0,True,0.9666666666666667,1.0,"[13, 18]",1.0,-0.0,0.0,tied,True,0,True,False
ieee9_T2,ieee9,2,"[13, 18]",0.9666666666666667,5b4c2191621b1bbc,V0_original,101,0.9899999999999999,1.0,2,False,0.9700000000000001,1.0,"[37, 20]",1.0,-0.0,-0.019999999999999796,improved,True,0,False,False
ieee9_T2,ieee9,2,"[13, 18]",0.9666666666666667,5b4c2191621b1bbc,V0_original,202,0.9866666666666667,1.0,8,False,0.9700000000000001,1.0,"[12, 41]",1.0,-0.0,-0.016666666666666607,improved,True,0,False,False
ieee9_T2,ieee9,2,"[13, 18]",0.9666666666666667,5b4c2191621b1bbc,V0_original,303,0.9766666666666666,1.0,1,False,0.9766666666666666,1.0,"[39, 30]",1.0,-0.0,0.0,tied,True,0,False,False
ieee9_T2,ieee9,2,"[13, 18]",0.9666666666666667,5b4c2191621b1bbc,V0_original,404,0.9899999999999999,1.0,1,False,0.9666666666666667,1.0,"[18, 13]",1.0,-0.0,-0.023333333333333206,improved,True,0,False,False
ieee9_T2,ieee9,2,"[13, 18]",0.9666666666666667,5b4c2191621b1bbc,V0_original,505,0.9866666666666667,1.0,6,False,0.9700000000000001,1.0,"[30, 2]",1.0,-0.0,-0.016666666666666607,improved,True,0,False,False
ieee9_T3,ieee9,3,"[0, 4, 6]",0.96,5b4c2191621b1bbc,V1_fixed_init_terminal,101,0.96,1.0,0,True,0.96,1.0,"[0, 4, 6]",1.0,-0.0,0.0,tied,True,0,True,False
ieee9_T3,ieee9,3,"[0, 4, 6]",0.96,5b4c2191621b1bbc,V1_fixed_init_terminal,202,0.96,1.0,0,True,0.96,1.0,"[0, 4, 6]",1.0,-0.0,0.0,tied,True,0,True,False
ieee9_T3,ieee9,3,"[0, 4, 6]",0.96,5b4c2191621b1bbc,V1_fixed_init_terminal,303,0.96,1.0,0,True,0.96,1.0,"[0, 4, 6]",1.0,-0.0,0.0,tied,True,0,True,False
ieee9_T3,ieee9,3,"[0, 4, 6]",0.96,5b4c2191621b1bbc,V1_fixed_init_terminal,404,0.96,1.0,0,True,0.96,1.0,"[0, 4, 6]",1.0,-0.0,0.0,tied,True,0,True,False
ieee9_T3,ieee9,3,"[0, 4, 6]",0.96,5b4c2191621b1bbc,V1_fixed_init_terminal,505,0.96,1.0,0,True,0.96,1.0,"[0, 4, 6]",1.0,-0.0,0.0,tied,True,0,True,False
ieee9_T3,ieee9,3,"[0, 4, 6]",0.96,5b4c2191621b1bbc,V0_original,101,0.9899999999999999,1.0,15,False,0.96,1.0,"[18, 2, 4]",1.0,-0.0,-0.029999999999999916,improved,True,0,False,False
ieee9_T3,ieee9,3,"[0, 4, 6]",0.96,5b4c2191621b1bbc,V0_original,202,0.9700000000000001,1.0,5,False,0.9666666666666667,1.0,"[15, 38, 7]",1.0,-0.0,-0.0033333333333334103,improved,True,0,False,False
ieee9_T3,ieee9,3,"[0, 4, 6]",0.96,5b4c2191621b1bbc,V0_original,303,0.9766666666666666,1.0,1,False,0.9766666666666666,1.0,"[39, 30, 14]",1.0,-0.0,0.0,tied,True,0,False,False
ieee9_T3,ieee9,3,"[0, 4, 6]",0.96,5b4c2191621b1bbc,V0_original,404,0.9866666666666667,1.0,5,False,0.9733333333333333,1.0,"[18, 29, 27]",1.0,-0.0,-0.01333333333333342,improved,True,0,False,False
ieee9_T3,ieee9,3,"[0, 4, 6]",0.96,5b4c2191621b1bbc,V0_original,505,0.98,1.0,2,False,0.96,1.0,"[0, 22, 40]",1.0,-0.0,-0.020000000000000018,improved,True,0,False,False
