action_id,amplitude_pu,physical_bus,duration_s,parameter,standardized_linear_sensitivity_hz
8,0.05,9,0.5,K_1,0.0006713079039229164
8,0.05,9,0.5,K_2,0.00028419689580091604
8,0.05,9,0.5,K_3,0.0001760948338870328
9,0.05,1,1.0,M_1,0.0009874232403973581
9,0.05,1,1.0,M_2,0.00029364359458031376
9,0.05,1,1.0,M_3,0.00012311103855216116
9,0.05,1,1.0,K_1,0.0012779984815829034
9,0.05,1,1.0,K_2,0.0005736849846059082
9,0.05,1,1.0,K_3,0.00035460139280882417
10,0.05,2,1.0,M_1,0.0009513181224726251
10,0.05,2,1.0,M_2,0.00041191329444431113
10,0.05,2,1.0,M_3,0.00013680207042604463
10,0.05,2,1.0,K_1,0.0012801436755639681
10,0.05,2,1.0,K_2,0.0005740847502267866
10,0.05,2,1.0,K_3,0.00036543948926494476
11,0.05,3,1.0,M_1,0.0009597807957677437
11,0.05,3,1.0,M_2,0.0003078155858858658
11,0.05,3,1.0,M_3,0.0001467259329314416
11,0.05,3,1.0,K_1,0.0012800121444166825
11,0.05,3,1.0,K_2,0.0005740906332734646
11,0.05,3,1.0,K_3,0.00035900855422827435
12,0.05,4,1.0,M_1,0.0009762468831513694
12,0.05,4,1.0,M_2,0.000262032884500938
12,0.05,4,1.0,M_3,0.00012457778519943781
12,0.05,4,1.0,K_1,0.00127852608097412
12,0.05,4,1.0,K_2,0.0005735632651191586
12,0.05,4,1.0,K_3,0.00035652621498072655
13,0.05,5,1.0,M_1,0.0009700288618804769
13,0.05,5,1.0,M_2,0.0002607384545406244
13,0.05,5,1.0,M_3,0.00012857512798896068
13,0.05,5,1.0,K_1,0.0012789460092223477
13,0.05,5,1.0,K_2,0.0005736269372934071
13,0.05,5,1.0,K_3,0.0003574964875698582
14,0.05,6,1.0,M_1,0.0009606988256556993
14,0.05,6,1.0,M_2,0.00029979580067120306
14,0.05,6,1.0,M_3,0.00013975333110247273
14,0.05,6,1.0,K_1,0.001279743160803246
14,0.05,6,1.0,K_2,0.0005739083572390891
14,0.05,6,1.0,K_3,0.00035940984926687773
15,0.05,7,1.0,M_1,0.0009577975075704722
15,0.05,7,1.0,M_2,0.0003250902824310854
15,0.05,7,1.0,M_3,0.00013637741782248044
15,0.05,7,1.0,K_1,0.001279763783021783
15,0.05,7,1.0,K_2,0.0005738457565348569
15,0.05,7,1.0,K_3,0.00036129243092340697
16,0.05,8,1.0,M_1,0.0009558811268369125
16,0.05,8,1.0,M_2,0.000345053230119439
16,0.05,8,1.0,M_3,0.00013420737721237913
16,0.05,8,1.0,K_1,0.0012797813650113126
16,0.05,8,1.0,K_2,0.0005738232009737126
16,0.05,8,1.0,K_3,0.0003626385609750564
17,0.05,9,1.0,M_1,0.0009678865762066187
17,0.05,9,1.0,M_2,0.0002662238210742951
17,0.05,9,1.0,M_3,0.0001265381799923203
17,0.05,9,1.0,K_1,0.0012789440557302032
17,0.05,9,1.0,K_2,0.0005735329318056205
17,0.05,9,1.0,K_3,0.00035858512019320914
18,0.05,1,1.5,M_1,0.0014028559196640545
18,0.05,1,1.5,M_2,0.0004273762206347372
18,0.05,1,1.5,M_3,0.00019244589008134366
18,0.05,1,1.5,K_1,0.0018279431382147418
18,0.05,1,1.5,K_2,0.0008186117298260608
18,0.05,1,1.5,K_3,0.0005096488971811072
19,0.05,2,1.5,M_1,0.001432639471529902
19,0.05,2,1.5,M_2,0.00035104370983994555
19,0.05,2,1.5,M_3,0.00017945222795840048
19,0.05,2,1.5,K_1,0.001828116794383008
19,0.05,2,1.5,K_2,0.000818890133709696
19,0.05,2,1.5,K_3,0.0005151944657958868
20,0.05,3,1.5,M_1,0.0014293244749761238
20,0.05,3,1.5,M_2,0.0003782617632988332
20,0.05,3,1.5,M_3,0.0001713414080316693
20,0.05,3,1.5,K_1,0.0018285155370227854
20,0.05,3,1.5,K_2,0.0008196116009137436
20,0.05,3,1.5,K_3,0.0005116381458601035
21,0.05,4,1.5,M_1,0.0014099854426339847
21,0.05,4,1.5,M_2,0.0004062363416239295
21,0.05,4,1.5,M_3,0.00018776649797870595
21,0.05,4,1.5,K_1,0.0018280342288863288
21,0.05,4,1.5,K_2,0.0008187671754666735
21,0.05,4,1.5,K_3,0.0005106348895887701
22,0.05,5,1.5,M_1,0.0014154990181661385
22,0.05,5,1.5,M_2,0.0003950095766777719
22,0.05,5,1.5,M_3,0.00018343870215087457
22,0.05,5,1.5,K_1,0.0018281480167670183
22,0.05,5,1.5,K_2,0.0008189671723722891
22,0.05,5,1.5,K_3,0.0005110811481767896
23,0.05,6,1.5,M_1,0.0014260438803593127
23,0.05,6,1.5,M_2,0.00037790765290328035
23,0.05,6,1.5,M_3,0.00017547282073033225
23,0.05,6,1.5,K_1,0.0018283663351207286
23,0.05,6,1.5,K_2,0.0008193451472992077
23,0.05,6,1.5,K_3,0.0005119360284768754
24,0.05,7,1.5,M_1,0.0014268216337338469
24,0.05,7,1.5,M_2,0.0003690306205893804
24,0.05,7,1.5,M_3,0.00017793552839292525
24,0.05,7,1.5,K_1,0.0018282430408350302
24,0.05,7,1.5,K_2,0.0008191182551326369
24,0.05,7,1.5,K_3,0.0005129825653344099
25,0.05,8,1.5,M_1,0.0014273951656043609
25,0.05,8,1.5,M_2,0.0003629781454072611
25,0.05,8,1.5,M_3,0.0001797505663230326
25,0.05,8,1.5,K_1,0.0018281553092589836
25,0.05,8,1.5,K_2,0.0008189601309156262
25,0.05,8,1.5,K_3,0.0005137363942726083
26,0.05,9,1.5,M_1,0.0014158020581612688
26,0.05,9,1.5,M_2,0.0003890161769407996
26,0.05,9,1.5,M_3,0.00018493375783032738
26,0.05,9,1.5,K_1,0.001828071831414819
26,0.05,9,1.5,K_2,0.0008188251017979759
26,0.05,9,1.5,K_3,0.0005116985640115754
27,0.05,1,2.0,M_1,0.0016509899970721736
27,0.05,1,2.0,M_2,0.0004621981601597607
27,0.05,1,2.0,M_3,0.00021740335183809535
27,0.05,1,2.0,K_1,0.002312894492801949
27,0.05,1,2.0,K_2,0.0010374327346337835
27,0.05,1,2.0,K_3,0.000648396618604126
28,0.05,2,2.0,M_1,0.0016381718375613563
28,0.05,2,2.0,M_2,0.00043754499968728943
28,0.05,2,2.0,M_3,0.00021586434031461781
28,0.05,2,2.0,K_1,0.0023151934237312798
28,0.05,2,2.0,K_2,0.0010341007010968017
28,0.05,2,2.0,K_3,0.0006507102207041519
29,0.05,3,2.0,M_1,0.0016420490570571058
29,0.05,3,2.0,M_2,0.0004427336356577405
29,0.05,3,2.0,M_3,0.00021742235170394978
29,0.05,3,2.0,K_1,0.0023149044305030095
29,0.05,3,2.0,K_2,0.0010360619668817852
29,0.05,3,2.0,K_3,0.0006472104042070496
30,0.05,4,2.0,M_1,0.0016480297923112143
30,0.05,4,2.0,M_2,0.0004554449970833024
30,0.05,4,2.0,M_3,0.00021718158867874214
30,0.05,4,2.0,K_1,0.0023134620336884284
30,0.05,4,2.0,K_2,0.0010367756526580242
30,0.05,4,2.0,K_3,0.0006485267656536117
31,0.05,5,2.0,M_1,0.0016461112981704727
31,0.05,5,2.0,M_2,0.00045121245998115
31,0.05,5,2.0,M_3,0.00021716002850296896
31,0.05,5,2.0,K_1,0.0023138838249360996
31,0.05,5,2.0,K_2,0.0010364663877511324
31,0.05,5,2.0,K_3,0.0006483046387846182
32,0.05,6,2.0,M_1,0.0016426008033992238
32,0.05,6,2.0,M_2,0.000444062702403627
32,0.05,6,2.0,M_3,0.00021714292381479444
32,0.05,6,2.0,K_1,0.002314672827200762
32,0.05,6,2.0,K_2,0.0010359063409100225
32,0.05,6,2.0,K_3,0.00064792948501403
33,0.05,7,2.0,M_1,0.0016414850779469603
33,0.05,7,2.0,M_2,0.0004424398264146525
33,0.05,7,2.0,M_3,0.00021667571217070101
33,0.05,7,2.0,K_1,0.0023147468082317297
33,0.05,7,2.0,K_2,0.0010353171875104887
33,0.05,7,2.0,K_3,0.0006489794125432552
34,0.05,8,2.0,M_1,0.0016406906522400063
34,0.05,8,2.0,M_2,0.00044133540921658174
34,0.05,8,2.0,M_3,0.000216348419093575
34,0.05,8,2.0,K_1,0.0023147999005596878
34,0.05,8,2.0,K_2,0.0010349033189975525
34,0.05,8,2.0,K_3,0.0006497368944309286
35,0.05,9,2.0,M_1,0.0016454729798955014
35,0.05,9,2.0,M_2,0.00045014094761009155
35,0.05,9,2.0,M_3,0.00021688862070244012
35,0.05,9,2.0,K_1,0.0023139195253874356
35,0.05,9,2.0,K_2,0.0010361135034165695
35,0.05,9,2.0,K_3,0.0006489412765144733
36,0.05,1,2.5,M_1,0.002031982959520509
36,0.05,1,2.5,M_2,0.0005822221970359773
36,0.05,1,2.5,M_3,0.00027397189601568897
36,0.05,1,2.5,K_1,0.0027123548334575705
36,0.05,1,2.5,K_2,0.0012158370489705275
36,0.05,1,2.5,K_3,0.0007634411322665098
37,0.05,2,2.5,M_1,0.0020455442662486146
37,0.05,2,2.5,M_2,0.0005347924268144432
37,0.05,2,2.5,M_3,0.00026748169857725553
37,0.05,2,2.5,K_1,0.002714941256386904
37,0.05,2,2.5,K_2,0.001211759176851835
37,0.05,2,2.5,K_3,0.0007642617359005977
38,0.05,3,2.5,M_1,0.002043917083770389
38,0.05,3,2.5,M_2,0.0005529045435601631
38,0.05,3,2.5,M_3,0.00026308397584975436
38,0.05,3,2.5,K_1,0.002714413516148288
38,0.05,3,2.5,K_2,0.001214219072080248
38,0.05,3,2.5,K_3,0.0007614716560098175
39,0.05,4,2.5,M_1,0.002035364233559142
39,0.05,4,2.5,M_2,0.0005715590006061796
39,0.05,4,2.5,M_3,0.00027157144726561237
39,0.05,4,2.5,K_1,0.0027129710456110694
39,0.05,4,2.5,K_2,0.0012150572839280357
39,0.05,4,2.5,K_3,0.0007632760839205551
40,0.05,5,2.5,M_1,0.0020378717188977062
40,0.05,5,2.5,M_2,0.0005651962091114902
40,0.05,5,2.5,M_3,0.00026929752495506303
40,0.05,5,2.5,K_1,0.002713406268842094
40,0.05,5,2.5,K_2,0.0012146910538414451
40,0.05,5,2.5,K_3,0.0007628875865674876
41,0.05,6,2.5,M_1,0.0020425399791930937
41,0.05,6,2.5,M_2,0.0005536764131683154
41,0.05,6,2.5,M_3,0.00026522004171137447
41,0.05,6,2.5,K_1,0.0027142168681935064
41,0.05,6,2.5,K_2,0.0012140208237853066
41,0.05,6,2.5,K_3,0.0007621894396487256
42,0.05,7,2.5,M_1,0.0020429556469831233
42,0.05,7,2.5,M_2,0.0005483132126579859
42,0.05,7,2.5,M_3,0.00026659590748787207
42,0.05,7,2.5,K_1,0.0027143622690079926
42,0.05,7,2.5,K_2,0.0012132888551030642
42,0.05,7,2.5,K_3,0.0007630318350596085
43,0.05,8,2.5,M_1,0.002043253579403718
43,0.05,8,2.5,M_2,0.00054453516610615
43,0.05,8,2.5,M_3,0.00026759927119674717
43,0.05,8,2.5,K_1,0.002714466264069421
43,0.05,8,2.5,K_2,0.001212770425799461
43,0.05,8,2.5,K_3,0.0007636386634857184
44,0.05,9,2.5,M_1,0.002038072726957814
44,0.05,9,2.5,M_2,0.0005620176007255865
44,0.05,9,2.5,M_3,0.00027018801593655306
44,0.05,9,2.5,K_1,0.002713484594482316
44,0.05,9,2.5,K_2,0.0012142579164137286
44,0.05,9,2.5,K_3,0.0007634000504997436
45,0.05,1,3.0,M_1,0.002343153110976172
45,0.05,1,3.0,M_2,0.0006627935491860081
45,0.05,1,3.0,M_3,0.0003146558576629144
45,0.05,1,3.0,K_1,0.0030225662748335803
45,0.05,1,3.0,K_2,0.0013544797604143363
45,0.05,1,3.0,K_3,0.0008537647666470404
46,0.05,2,3.0,M_1,0.0023556297045436
46,0.05,2,3.0,M_2,0.0006309846165971096
46,0.05,2,3.0,M_3,0.0003107354646256083
46,0.05,2,3.0,K_1,0.003025295426539752
46,0.05,2,3.0,K_2,0.0013493923261353462
46,0.05,2,3.0,K_3,0.0008537572753771256
47,0.05,3,3.0,M_1,0.002353710331694506
47,0.05,3,3.0,M_2,0.0006433565070074888
47,0.05,3,3.0,M_3,0.0003067839594147425
47,0.05,3,3.0,K_1,0.0030246109693771567
47,0.05,3,3.0,K_2,0.0013519651715193962
47,0.05,3,3.0,K_3,0.0008512350584231704
48,0.05,4,3.0,M_1,0.0023462072506311164
48,0.05,4,3.0,M_2,0.0006557224944720731
48,0.05,4,3.0,M_3,0.0003130117067035134
48,0.05,4,3.0,K_1,0.0030232001164947095
48,0.05,4,3.0,K_2,0.0013534449623644788
48,0.05,4,3.0,K_3,0.000853415232110201
49,0.05,5,3.0,M_1,0.0023484302759585
49,0.05,5,3.0,M_2,0.000651509860781818
49,0.05,5,3.0,M_3,0.0003113689223629416
49,0.05,5,3.0,K_1,0.003023634209749386
49,0.05,5,3.0,K_2,0.0013528900147032699
49,0.05,5,3.0,K_3,0.0008529073097894734
50,0.05,6,3.0,M_1,0.0023525709620571323
50,0.05,6,3.0,M_2,0.0006438336798316234
50,0.05,6,3.0,M_3,0.0003084441962243079
50,0.05,6,3.0,K_1,0.0030244424566333787
50,0.05,6,3.0,K_2,0.0013518708067252621
50,0.05,6,3.0,K_3,0.0008519861819180097
51,0.05,7,3.0,M_1,0.002353081903779414
51,0.05,7,3.0,M_2,0.0006401750352506284
51,0.05,7,3.0,M_3,0.00030967010764443396
51,0.05,7,3.0,K_1,0.003024634731797316
51,0.05,7,3.0,K_2,0.0013511102889112489
51,0.05,7,3.0,K_3,0.0008527518151331809
52,0.05,8,3.0,M_1,0.002353447616416384
52,0.05,8,3.0,M_2,0.0006375984762446532
52,0.05,8,3.0,M_3,0.0003105636021433221
52,0.05,8,3.0,K_1,0.0030247721825919357
52,0.05,8,3.0,K_2,0.0013505712723433792
52,0.05,8,3.0,K_3,0.0008533034840594846
53,0.05,9,3.0,M_1,0.0023486930037558413
53,0.05,9,3.0,M_2,0.0006493479172681889
53,0.05,9,3.0,M_3,0.0003121558968195707
53,0.05,9,3.0,K_1,0.0030237403999320133
53,0.05,9,3.0,K_2,0.0013524431510103243
53,0.05,9,3.0,K_3,0.000853375810237415
