action_i,action_j,bus_i,bus_j,duration_i_s,duration_j_s,pearson_response_correlation,near_duplicate
2,12,3,4,0.5,1.0,0.891098627936044,False
2,13,3,5,0.5,1.0,0.883985690835616,False
2,14,3,6,0.5,1.0,0.8697379204023438,False
2,15,3,7,0.5,1.0,0.8653735775220528,False
2,16,3,8,0.5,1.0,0.8621740787610951,False
2,17,3,9,0.5,1.0,0.8817872054788755,False
2,18,3,1,0.5,1.5,0.8253560573371761,False
2,19,3,2,0.5,1.5,0.8242403363367604,False
2,20,3,3,0.5,1.5,0.8260462580296285,False
2,21,3,4,0.5,1.5,0.8253856448698009,False
2,22,3,5,0.5,1.5,0.8255235663051363,False
2,23,3,6,0.5,1.5,0.8256992201807023,False
2,24,3,7,0.5,1.5,0.8251685394482251,False
2,25,3,8,0.5,1.5,0.8247863265164088,False
2,26,3,9,0.5,1.5,0.8252184222861436,False
2,27,3,1,0.5,2.0,0.5545601793222881,False
2,28,3,2,0.5,2.0,0.5461569437777969,False
2,29,3,3,0.5,2.0,0.548223471375088,False
2,30,3,4,0.5,2.0,0.5525947150936179,False
2,31,3,5,0.5,2.0,0.5512480665257806,False
2,32,3,6,0.5,2.0,0.548750167580094,False
2,33,3,7,0.5,2.0,0.5481703440787097,False
2,34,3,8,0.5,2.0,0.5477555719034225,False
2,35,3,9,0.5,2.0,0.5509281116483379,False
2,36,3,1,0.5,2.5,0.2986123142260744,False
2,37,3,2,0.5,2.5,0.2812972435556216,False
2,38,3,3,0.5,2.5,0.284770862224944,False
2,39,3,4,0.5,2.5,0.29439871695012454,False
2,40,3,5,0.5,2.5,0.29145942039699113,False
2,41,3,6,0.5,2.5,0.2860614232140998,False
2,42,3,7,0.5,2.5,0.28509618736162223,False
2,43,3,8,0.5,2.5,0.2844074587250093,False
2,44,3,9,0.5,2.5,0.29092986218283534,False
2,45,3,1,0.5,3.0,0.14525554647273445,False
2,46,3,2,0.5,3.0,0.1323555613269789,False
2,47,3,3,0.5,3.0,0.13488430771766313,False
2,48,3,4,0.5,3.0,0.14211328841623883,False
2,49,3,5,0.5,3.0,0.13991256721296638,False
2,50,3,6,0.5,3.0,0.13586632602273913,False
2,51,3,7,0.5,3.0,0.13516582103684543,False
2,52,3,8,0.5,3.0,0.13466590021838865,False
2,53,3,9,0.5,3.0,0.1395299518915434,False
3,4,4,5,0.5,0.5,0.9804099454224434,True
3,5,4,6,0.5,0.5,0.882072625460293,False
3,6,4,7,0.5,0.5,0.852762915172387,False
3,7,4,8,0.5,0.5,0.8312431079229092,False
3,8,4,9,0.5,0.5,0.9701317772826953,False
3,9,4,1,0.5,1.0,0.9920446656675094,True
3,10,4,2,0.5,1.0,0.9953155427065132,True
3,11,4,3,0.5,1.0,0.996187996851503,True
3,12,4,4,0.5,1.0,0.9944153775430471,True
3,13,4,5,0.5,1.0,0.9954459921039591,True
3,14,4,6,0.5,1.0,0.9962368842193905,True
3,15,4,7,0.5,1.0,0.9962423591169679,True
3,16,4,8,0.5,1.0,0.9961574575034187,True
3,17,4,9,0.5,1.0,0.9957169584545372,True
3,18,4,1,0.5,1.5,0.9769051875364135,False
3,19,4,2,0.5,1.5,0.9807829617801478,True
3,20,4,3,0.5,1.5,0.9803183883137031,True
3,21,4,4,0.5,1.5,0.9780044671604268,False
3,22,4,5,0.5,1.5,0.9787413785275708,False
3,23,4,6,0.5,1.5,0.9799959095595622,False
3,24,4,7,0.5,1.5,0.9801340902800681,True
3,25,4,8,0.5,1.5,0.9802276871238884,True
3,26,4,9,0.5,1.5,0.9788297996128972,False
3,27,4,1,0.5,2.0,0.7890440749264114,False
3,28,4,2,0.5,2.0,0.7830466054249068,False
3,29,4,3,0.5,2.0,0.7844962340981236,False
3,30,4,4,0.5,2.0,0.7876464727546992,False
3,31,4,5,0.5,2.0,0.7866815029344479,False
3,32,4,6,0.5,2.0,0.7848844212791926,False
3,33,4,7,0.5,2.0,0.7844797870770237,False
3,34,4,8,0.5,2.0,0.7841898769618065,False
3,35,4,9,0.5,2.0,0.7864601901689208,False
3,36,4,1,0.5,2.5,0.5542997787778686,False
3,37,4,2,0.5,2.5,0.5395774470112472,False
3,38,4,3,0.5,2.5,0.5424725975786789,False
3,39,4,4,0.5,2.5,0.5507215998015643,False
3,40,4,5,0.5,2.5,0.5482128237792255,False
3,41,4,6,0.5,2.5,0.5435941676382477,False
3,42,4,7,0.5,2.5,0.5427928012816347,False
3,43,4,8,0.5,2.5,0.5422206499900653,False
3,44,4,9,0.5,2.5,0.547775885240845,False
3,45,4,1,0.5,3.0,0.3822927431958083,False
3,46,4,2,0.5,3.0,0.3710642443649934,False
3,47,4,3,0.5,3.0,0.3732006889980212,False
3,48,4,4,0.5,3.0,0.3795549777297942,False
3,49,4,5,0.5,3.0,0.377627564951496,False
3,50,4,6,0.5,3.0,0.3740782528494668,False
3,51,4,7,0.5,3.0,0.3734889408698779,False
3,52,4,8,0.5,3.0,0.373068207613509,False
3,53,4,9,0.5,3.0,0.3773076628077174,False
4,5,5,6,0.5,0.5,0.957586983876789,False
4,6,5,7,0.5,0.5,0.9387331072167471,False
4,7,5,8,0.5,0.5,0.9239360932300715,False
4,8,5,9,0.5,0.5,0.9986804848365283,True
4,9,5,1,0.5,1.0,0.9915601208849824,True
4,10,5,2,0.5,1.0,0.9741404644537999,False
4,11,5,3,0.5,1.0,0.9810223705078862,True
4,12,5,4,0.5,1.0,0.989232864780364,True
4,13,5,5,0.5,1.0,0.9871290829261069,True
4,14,5,6,0.5,1.0,0.9820925057372202,True
4,15,5,7,0.5,1.0,0.980387558785029,True
4,16,5,8,0.5,1.0,0.9790803992869618,False
4,17,5,9,0.5,1.0,0.9864426784630688,True
4,18,5,1,0.5,1.5,0.9525187391382695,False
4,19,5,2,0.5,1.5,0.9545798480979729,False
4,20,5,3,0.5,1.5,0.9549783790111533,False
4,21,5,4,0.5,1.5,0.9532371938754053,False
4,22,5,5,0.5,1.5,0.9537640432342135,False
4,23,5,6,0.5,1.5,0.9546375701291694,False
4,24,5,7,0.5,1.5,0.9545216323094388,False
4,25,5,8,0.5,1.5,0.9544342911810267,False
4,26,5,9,0.5,1.5,0.9537032456654632,False
4,27,5,1,0.5,2.0,0.7261857821315818,False
4,28,5,2,0.5,2.0,0.7190531366914472,False
4,29,5,3,0.5,2.0,0.7207899442334267,False
4,30,5,4,0.5,2.0,0.7245207463999072,False
4,31,5,5,0.5,2.0,0.7233750449346196,False
4,32,5,6,0.5,2.0,0.721245233383889,False
4,33,5,7,0.5,2.0,0.7207593063969868,False
4,34,5,8,0.5,2.0,0.720411404311055,False
4,35,5,9,0.5,2.0,0.7231081964681426,False
4,36,5,1,0.5,2.5,0.4751765003556194,False
4,37,5,2,0.5,2.5,0.4589259267011929,False
4,38,5,3,0.5,2.5,0.46214963370571954,False
4,39,5,4,0.5,2.5,0.47122505472683796,False
4,40,5,5,0.5,2.5,0.4684605232827322,False
4,41,5,6,0.5,2.5,0.46337614326317794,False
4,42,5,7,0.5,2.5,0.462482341639971,False
4,43,5,8,0.5,2.5,0.4618443574023745,False
4,44,5,9,0.5,2.5,0.4679718925582985,False
4,45,5,1,0.5,3.0,0.30456932150690974,False
4,46,5,2,0.5,3.0,0.29229029228037356,False
4,47,5,3,0.5,3.0,0.29465705830573474,False
4,48,5,4,0.5,3.0,0.3015768296019454,False
4,49,5,5,0.5,3.0,0.29947469346374056,False
4,50,5,6,0.5,3.0,0.2956060862311051,False
4,51,5,7,0.5,3.0,0.29495204217422893,False
4,52,5,8,0.5,3.0,0.29448517060547436,False
4,53,5,9,0.5,3.0,0.29911871049308375,False
5,6,6,7,0.5,0.5,0.9977819461312692,True
5,7,6,8,0.5,0.5,0.9938713589434832,True
5,8,6,9,0.5,0.5,0.9694668722689429,False
5,9,6,1,0.5,1.0,0.9203794895653648,False
5,10,6,2,0.5,1.0,0.8739305727744899,False
5,11,6,3,0.5,1.0,0.889114347662445,False
5,12,6,4,0.5,1.0,0.9113451779089361,False
5,13,6,5,0.5,1.0,0.9048057406666462,False
5,14,6,6,0.5,1.0,0.891602365363553,False
5,15,6,7,0.5,1.0,0.8875164867457689,False
5,16,6,8,0.5,1.0,0.8845142389461643,False
5,17,6,9,0.5,1.0,0.9027676220608816,False
5,18,6,1,0.5,1.5,0.8491470410140094,False
5,19,6,2,0.5,1.5,0.8484044827346651,False
5,20,6,3,0.5,1.5,0.8500371968197453,False
5,21,6,4,0.5,1.5,0.8492574221446336,False
5,22,6,5,0.5,1.5,0.8494395902371481,False
5,23,6,6,0.5,1.5,0.8496937771844988,False
5,24,6,7,0.5,1.5,0.8492143661105372,False
5,25,6,8,0.5,1.5,0.848868564564789,False
5,26,6,9,0.5,1.5,0.8491648428185401,False
5,27,6,1,0.5,2.0,0.5826198219034832,False
5,28,6,2,0.5,2.0,0.5743337287038286,False
5,29,6,3,0.5,2.0,0.5763671404000908,False
5,30,6,4,0.5,2.0,0.5806819578577423,False
5,31,6,5,0.5,2.0,0.5793533336415807,False
5,32,6,6,0.5,2.0,0.5768882195725814,False
5,33,6,7,0.5,2.0,0.5763179254076636,False
5,34,6,8,0.5,2.0,0.575909927414098,False
5,35,6,9,0.5,2.0,0.5790388477728757,False
5,36,6,1,0.5,2.5,0.3256565449872624,False
5,37,6,2,0.5,2.5,0.3083253432807326,False
5,38,6,3,0.5,2.5,0.3118005511263172,False
5,39,6,4,0.5,2.5,0.3214399015107128,False
5,40,6,5,0.5,2.5,0.318497716459612,False
5,41,6,6,0.5,2.5,0.31309340471769626,False
5,42,6,7,0.5,2.5,0.31212791226668074,False
5,43,6,8,0.5,2.5,0.31143896985590236,False
5,44,6,9,0.5,2.5,0.3179681980906151,False
5,45,6,1,0.5,3.0,0.16922349546136706,False
5,46,6,2,0.5,3.0,0.15628035535786675,False
5,47,6,3,0.5,3.0,0.1588158384390005,False
5,48,6,4,0.5,3.0,0.16607104944836013,False
5,49,6,5,0.5,3.0,0.16386271480313855,False
5,50,6,6,0.5,3.0,0.15980196267496885,False
5,51,6,7,0.5,3.0,0.1590997090419763,False
5,52,6,8,0.5,3.0,0.1585985252001725,False
5,53,6,9,0.5,3.0,0.1634792512416635,False
6,7,7,8,0.5,0.5,0.9990254233433753,True
6,8,7,9,0.5,0.5,0.9539129750962181,False
6,9,7,1,0.5,1.0,0.8971427912821976,False
6,10,7,2,0.5,1.0,0.8442560164810761,False
6,11,7,3,0.5,1.0,0.8613664726919772,False
6,12,7,4,0.5,1.0,0.8866219849562877,False
6,13,7,5,0.5,1.0,0.8791143868146021,False
6,14,7,6,0.5,1.0,0.8641372480243862,False
6,15,7,7,0.5,1.0,0.8594952622243625,False
6,16,7,8,0.5,1.0,0.856097672195781,False
6,17,7,9,0.5,1.0,0.8767575444033499,False
6,18,7,1,0.5,1.5,0.8198964742857288,False
6,19,7,2,0.5,1.5,0.8184772549900496,False
6,20,7,3,0.5,1.5,0.8203603687400561,False
6,21,7,4,0.5,1.5,0.8198531849100066,False
6,22,7,5,0.5,1.5,0.8199426409068737,False
6,23,7,6,0.5,1.5,0.8200303663857397,False
6,24,7,7,0.5,1.5,0.8194776215803067,False
6,25,7,8,0.5,1.5,0.819079715386565,False
6,26,7,9,0.5,1.5,0.8196249189184355,False
6,27,7,1,0.5,2.0,0.5480960593278306,False
6,28,7,2,0.5,2.0,0.5396653971258867,False
6,29,7,3,0.5,2.0,0.541733221349196,False
6,30,7,4,0.5,2.0,0.546123270216606,False
6,31,7,5,0.5,2.0,0.5447711242088007,False
6,32,7,6,0.5,2.0,0.5422631876996966,False
6,33,7,7,0.5,2.0,0.5416830947820523,False
6,34,7,8,0.5,2.0,0.541268136989563,False
6,35,7,9,0.5,2.0,0.5444510723491239,False
6,36,7,1,0.5,2.5,0.29286492742607145,False
6,37,7,2,0.5,2.5,0.2754166961033759,False
6,38,7,3,0.5,2.5,0.27892913757997206,False
6,39,7,4,0.5,2.5,0.28862023215392296,False
6,40,7,5,0.5,2.5,0.28566068477125006,False
6,41,7,6,0.5,2.5,0.2802257927100085,False
6,42,7,7,0.5,2.5,0.2792494070833007,False
6,43,7,8,0.5,2.5,0.2785527333117826,False
6,44,7,9,0.5,2.5,0.28512475445876495,False
6,45,7,1,0.5,3.0,0.1417480818540037,False
6,46,7,2,0.5,3.0,0.1287321259974807,False
6,47,7,3,0.5,3.0,0.1312973414080334,False
6,48,7,4,0.5,3.0,0.13857931390947972,False
6,49,7,5,0.5,3.0,0.13636151661127205,False
6,50,7,6,0.5,3.0,0.13228398065024052,False
6,51,7,7,0.5,3.0,0.1315729878050821,False
6,52,7,8,0.5,3.0,0.13106558586012693,False
6,53,7,9,0.5,3.0,0.13597291310853826,False
7,8,8,9,0.5,0.5,0.9412669487197127,False
7,9,8,1,0.5,1.0,0.8795411961992458,False
7,10,8,2,0.5,1.0,0.8225152372121637,False
7,11,8,3,0.5,1.0,0.8408613021292706,False
7,12,8,4,0.5,1.0,0.8680605203332791,False
7,13,8,5,0.5,1.0,0.8599293576902237,False
7,14,8,6,0.5,1.0,0.8438127796454075,False
7,15,8,7,0.5,1.0,0.8388134284700742,False
7,16,8,8,0.5,1.0,0.8351620224301506,False
7,17,8,9,0.5,1.0,0.8573669543335488,False
7,18,8,1,0.5,1.5,0.7984963163147064,False
7,19,8,2,0.5,1.5,0.7966319782171382,False
7,20,8,3,0.5,1.5,0.7986764928414324,False
7,21,8,4,0.5,1.5,0.7983512578550584,False
7,22,8,5,0.5,1.5,0.7983790328767407,False
7,23,8,6,0.5,1.5,0.7983561908318034,False
7,24,8,7,0.5,1.5,0.797756180006996,False
7,25,8,8,0.5,1.5,0.7973247033070231,False
7,26,8,9,0.5,1.5,0.7980335971179098,False
7,27,8,1,0.5,2.0,0.5238643083317019,False
7,28,8,2,0.5,2.0,0.5153584675727931,False
7,29,8,3,0.5,2.0,0.5174440348562978,False
7,30,8,4,0.5,2.0,0.5218732005798681,False
7,31,8,5,0.5,2.0,0.5205087743975213,False
7,32,8,6,0.5,2.0,0.5179785947706632,False
7,33,8,7,0.5,2.0,0.5173934283309528,False
7,34,8,8,0.5,2.0,0.516974874139804,False
7,35,8,9,0.5,2.0,0.5201858174627129,False
7,36,8,1,0.5,2.5,0.2704060493146596,False
7,37,8,2,0.5,2.5,0.2529229104141654,False
7,38,8,3,0.5,2.5,0.2564514432330295,False
7,39,8,4,0.5,2.5,0.26615313900516835,False
7,40,8,5,0.5,2.5,0.26318931980010785,False
7,41,8,6,0.5,2.5,0.2577474474389243,False
7,42,8,7,0.5,2.5,0.2567662287932228,False
7,43,8,8,0.5,2.5,0.2560661338495388,False
7,44,8,9,0.5,2.5,0.2626504497865964,False
7,45,8,1,0.5,3.0,0.12318400426562359,False
7,46,8,2,0.5,3.0,0.11015160344905232,False
7,47,8,3,0.5,3.0,0.1127302574294138,False
7,48,8,4,0.5,3.0,0.12001216434369981,False
7,49,8,5,0.5,3.0,0.11779351706612384,False
7,50,8,6,0.5,3.0,0.11371482531510368,False
7,51,8,7,0.5,3.0,0.11299977731659164,False
7,52,8,8,0.5,3.0,0.11248949377217456,False
7,53,8,9,0.5,3.0,0.11740245623194195,False
8,9,9,1,0.5,1.0,0.9863754462226316,True
8,10,9,2,0.5,1.0,0.9634773734907878,False
8,11,9,3,0.5,1.0,0.9720130966681707,False
8,12,9,4,0.5,1.0,0.9828055108198878,True
8,13,9,5,0.5,1.0,0.9798832545974024,False
8,14,9,6,0.5,1.0,0.9733307446770184,False
8,15,9,7,0.5,1.0,0.9711524689015781,False
8,16,9,8,0.5,1.0,0.9695075108702697,False
8,17,9,9,0.5,1.0,0.9789296648717288,False
8,18,9,1,0.5,1.5,0.9418142164978915,False
8,19,9,2,0.5,1.5,0.9433557328224732,False
8,20,9,3,0.5,1.5,0.9439658050105159,False
8,21,9,4,0.5,1.5,0.942418549621312,False
8,22,9,5,0.5,1.5,0.9428782240283228,False
8,23,9,6,0.5,1.5,0.9436301749334631,False
8,24,9,7,0.5,1.5,0.9434522535571576,False
8,25,9,8,0.5,1.5,0.9433208025270511,False
8,26,9,9,0.5,1.5,0.942781178576987,False
8,27,9,1,0.5,2.0,0.7078659988944956,False
8,28,9,2,0.5,2.0,0.7005112189042023,False
8,29,9,3,0.5,2.0,0.702301864928986,False
8,30,9,4,0.5,2.0,0.7061481841661644,False
8,31,9,5,0.5,2.0,0.7049666325384606,False
8,32,9,6,0.5,2.0,0.7027709272522763,False
8,33,9,7,0.5,2.0,0.7022697855732936,False
8,34,9,8,0.5,2.0,0.7019110369731751,False
8,35,9,9,0.5,2.0,0.704691268461948,False
8,36,9,1,0.5,2.5,0.454680076160516,False
8,37,9,2,0.5,2.5,0.4381085405490156,False
8,38,9,3,0.5,2.5,0.4414068267053008,False
8,39,9,4,0.5,2.5,0.4506508312646207,False
8,40,9,5,0.5,2.5,0.4478336685500969,False
8,41,9,6,0.5,2.5,0.44265360791161745,False
8,42,9,7,0.5,2.5,0.44173867613633044,False
8,43,9,8,0.5,2.5,0.44108564568287023,False
8,44,9,9,0.5,2.5,0.4473331210855765,False
8,45,9,1,0.5,3.0,0.2859585262604214,False
8,46,9,2,0.5,3.0,0.27345136660008046,False
8,47,9,3,0.5,3.0,0.27587429919773804,False
8,48,9,4,0.5,3.0,0.28291150732864584,False
8,49,9,5,0.5,3.0,0.2807726431161139,False
8,50,9,6,0.5,3.0,0.27683696748746,False
8,51,9,7,0.5,3.0,0.27616699130191125,False
8,52,9,8,0.5,3.0,0.2756887636410435,False
8,53,9,9,0.5,3.0,0.2804076858345521,False
9,10,1,2,1.0,1.0,0.9905143863092555,True
9,11,1,3,1.0,1.0,0.995338018137876,True
9,12,1,4,1.0,1.0,0.9995183708532143,True
9,13,1,5,1.0,1.0,0.9986664635441203,True
9,14,1,6,1.0,1.0,0.9959481879425346,True
9,15,1,7,1.0,1.0,0.994826916910883,True
9,16,1,8,1.0,1.0,0.9939360771808161,True
9,17,1,9,1.0,1.0,0.9983061402646587,True
9,18,1,1,1.0,1.5,0.9714473327567847,False
9,19,1,2,1.0,1.5,0.9745072776674276,False
9,20,1,3,1.0,1.5,0.974496543425018,False
9,21,1,4,1.0,1.5,0.9723846316753151,False
9,22,1,5,1.0,1.5,0.973040062882105,False
9,23,1,6,1.0,1.5,0.974146457858759,False
9,24,1,7,1.0,1.5,0.9741504344324909,False
9,25,1,8,1.0,1.5,0.974148440482056,False
9,26,1,9,1.0,1.5,0.973049379742816,False
9,27,1,1,1.0,2.0,0.7607958632496347,False
9,28,1,2,1.0,2.0,0.7540722578680001,False
9,29,1,3,1.0,2.0,0.7557168830834221,False
9,30,1,4,1.0,2.0,0.7592289617371498,False
9,31,1,5,1.0,2.0,0.7581506517332444,False
9,32,1,6,1.0,2.0,0.75614471125409,False
9,33,1,7,1.0,2.0,0.7556846915147278,False
9,34,1,8,1.0,2.0,0.7553552556124001,False
9,35,1,9,1.0,2.0,0.7578982155924601,False
9,36,1,1,1.0,2.5,0.515569657543208,False
9,37,1,2,1.0,2.5,0.49968762361804403,False
9,38,1,3,1.0,2.5,0.5028515504701127,False
9,39,1,4,1.0,2.5,0.5117117316607063,False
9,40,1,5,1.0,2.5,0.5090128828849552,False
9,41,1,6,1.0,2.5,0.5040473559876656,False
9,42,1,7,1.0,2.5,0.5031700379333978,False
9,43,1,8,1.0,2.5,0.5025437644750087,False
9,44,1,9,1.0,2.5,0.5085333157935765,False
9,45,1,1,1.0,3.0,0.3441417033487692,False
9,46,1,2,1.0,3.0,0.3320726172742396,False
9,47,1,3,1.0,3.0,0.3344078040876695,False
9,48,1,4,1.0,3.0,0.34120263385398564,False
9,49,1,5,1.0,3.0,0.3391383758111206,False
9,50,1,6,1.0,3.0,0.33533849429954654,False
9,51,1,7,1.0,3.0,0.3346930651866342,False
9,52,1,8,1.0,3.0,0.33423231595403036,False
9,53,1,9,1.0,3.0,0.3387870638427395,False
10,11,2,3,1.0,1.0,0.9991067484270562,True
10,12,2,4,1.0,1.0,0.9942991563221143,True
10,13,2,5,1.0,1.0,0.9962787648807515,True
10,14,2,6,1.0,1.0,0.9988358195630043,True
10,15,2,7,1.0,1.0,0.9993427145652463,True
10,16,2,8,1.0,1.0,0.9996162293904621,True
10,17,2,9,1.0,1.0,0.996829427985217,True
10,18,2,1,1.0,1.5,0.9826919357924322,True
10,19,2,2,1.0,1.5,0.9874070089339839,True
10,20,2,3,1.0,1.5,0.9866825713004577,True
10,21,2,4,1.0,1.5,0.9839849213813405,True
10,22,2,5,1.0,1.5,0.9848460643725379,True
10,23,2,6,1.0,1.5,0.9863267115558618,True
10,24,2,7,1.0,1.5,0.9865399107407465,True
10,25,2,8,1.0,1.5,0.9866869218165104,True
10,26,2,9,1.0,1.5,0.9849776220118308,True
10,27,2,1,1.0,2.0,0.8048982263679351,False
10,28,2,2,1.0,2.0,0.7994187142742035,False
10,29,2,3,1.0,2.0,0.8007387626214307,False
10,30,2,4,1.0,2.0,0.8036225711722262,False
10,31,2,5,1.0,2.0,0.8027403214907448,False
10,32,2,6,1.0,2.0,0.8010957540822056,False
10,33,2,7,1.0,2.0,0.8007277277333988,False
10,34,2,8,1.0,2.0,0.8004639439525336,False
10,35,2,9,1.0,2.0,0.8025394464264572,False
10,36,2,1,1.0,2.5,0.5744002606750525,False
10,37,2,2,1.0,2.5,0.5602173032485972,False
10,38,2,3,1.0,2.5,0.5629988908422467,False
10,39,2,4,1.0,2.5,0.5709538258178048,False
10,40,2,5,1.0,2.5,0.5685357425849333,False
10,41,2,6,1.0,2.5,0.5640825321470597,False
