system,history_id,history_step,bus,A_star,J_star,second_amplitude,gap_best_second
ieee9,3,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,3,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,3,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,3,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,3,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,3,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,3,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,3,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,3,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,4,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,4,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,4,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,4,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,4,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,4,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,4,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,4,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,4,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,5,1,0,0.3,1.0162500000000003,0.2,0.01750000000000007
ieee9,5,1,1,0.2,0.9437500000000001,0.3,0.0
ieee9,5,1,2,0.15,0.9450000000000002,0.2,0.0
ieee9,5,1,3,0.1,0.9262500000000002,0.15,0.0
ieee9,5,1,4,0.05,0.9900000000000002,0.075,0.0
ieee9,5,1,5,0.3,1.0000000000000002,0.05,0.014999999999999902
ieee9,5,1,6,0.05,0.9850000000000002,0.1,0.0
ieee9,5,1,7,0.3,0.9750000000000002,0.2,0.028749999999999942
ieee9,5,1,8,0.3,0.9862500000000003,0.075,0.0012499999999999734
ieee9,6,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,6,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,6,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,6,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,6,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,6,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,6,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,6,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,6,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,7,1,0,0.075,0.9100000000000001,0.1,0.0012499999999999734
ieee9,7,1,1,0.05,0.90375,0.075,0.0
ieee9,7,1,2,0.05,0.9212500000000001,0.075,0.0
ieee9,7,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,7,1,4,0.2,0.9237500000000001,0.3,0.0
ieee9,7,1,5,0.1,0.9100000000000001,0.3,0.0
ieee9,7,1,6,0.3,0.9225000000000002,0.075,0.008749999999999925
ieee9,7,1,7,0.05,0.9175000000000002,0.075,0.0
ieee9,7,1,8,0.075,0.9200000000000002,0.05,0.0024999999999999467
ieee9,8,1,0,0.3,1.0275000000000003,0.2,0.01750000000000007
ieee9,8,1,1,0.3,0.9387500000000002,0.15,0.00374999999999992
ieee9,8,1,2,0.3,0.9425000000000001,0.15,0.0012499999999999734
ieee9,8,1,3,0.15,0.9387500000000002,0.05,0.0024999999999999467
ieee9,8,1,4,0.05,1.0087500000000003,0.075,0.0
ieee9,8,1,5,0.3,1.0200000000000002,0.15,0.007500000000000062
ieee9,8,1,6,0.05,0.9975000000000003,0.075,0.0012499999999999734
ieee9,8,1,7,0.3,0.9787500000000002,0.2,0.027499999999999858
ieee9,8,1,8,0.3,0.9925000000000002,0.2,0.0012499999999999734
ieee9,9,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,9,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,9,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,9,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,9,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,9,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,9,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,9,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,9,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,10,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,10,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,10,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,10,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,10,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,10,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,10,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,10,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,10,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,11,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,11,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,11,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,11,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,11,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,11,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,11,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,11,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,11,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,12,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,12,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,12,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,12,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,12,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,12,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,12,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,12,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,12,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,13,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,13,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,13,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,13,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,13,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,13,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,13,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,13,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,13,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,14,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,14,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,14,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,14,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,14,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,14,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,14,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,14,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,14,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,15,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,15,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,15,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,15,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,15,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,15,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,15,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,15,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,15,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,16,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,16,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,16,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,16,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,16,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,16,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,16,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,16,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,16,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,17,1,0,0.3,0.9000000000000001,0.2,0.006249999999999978
ieee9,17,1,1,0.05,0.9112500000000001,0.075,0.0
ieee9,17,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,17,1,3,0.05,0.9012500000000001,0.075,0.0
ieee9,17,1,4,0.05,0.9050000000000001,0.075,0.0
ieee9,17,1,5,0.15,0.9000000000000001,0.1,0.007499999999999951
ieee9,17,1,6,0.3,0.9000000000000001,0.2,0.0024999999999999467
ieee9,17,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,17,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,18,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,18,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,18,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,18,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,18,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,18,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,18,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,18,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,18,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,19,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,19,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,19,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,19,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,19,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,19,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,19,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,19,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,19,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,20,1,0,0.2,0.9225000000000001,0.15,0.0050000000000001155
ieee9,20,1,1,0.15,0.9137500000000001,0.2,0.0
ieee9,20,1,2,0.05,0.9200000000000002,0.075,0.0
ieee9,20,1,3,0.05,0.9087500000000002,0.075,0.0
ieee9,20,1,4,0.05,0.9337500000000002,0.075,0.0
ieee9,20,1,5,0.3,0.9137500000000001,0.05,0.010000000000000009
ieee9,20,1,6,0.05,0.9537500000000001,0.075,1.1102230246251565e-16
ieee9,20,1,7,0.3,0.9300000000000002,0.075,0.0012499999999999734
ieee9,20,1,8,0.05,0.9300000000000002,0.075,0.0024999999999999467
ieee9,21,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,21,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,21,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,21,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,21,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,21,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,21,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,21,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,21,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,22,1,0,0.3,0.9987500000000002,0.2,0.007500000000000062
ieee9,22,1,1,0.3,0.9712500000000002,0.2,0.0050000000000000044
ieee9,22,1,2,0.3,1.0150000000000001,0.2,0.011249999999999982
ieee9,22,1,3,0.2,0.9237500000000001,0.3,0.0012499999999999734
ieee9,22,1,4,0.05,1.025,0.075,0.0
ieee9,22,1,5,0.3,0.9850000000000001,0.05,0.0025000000000000577
ieee9,22,1,6,0.05,1.0075000000000003,0.075,0.0
ieee9,22,1,7,0.3,0.9687500000000002,0.1,0.06125000000000003
ieee9,22,1,8,0.075,0.9700000000000002,0.1,0.0
ieee9,23,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,23,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,23,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,23,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,23,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,23,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,23,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,23,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,23,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,24,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,24,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,24,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,24,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,24,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,24,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,24,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,24,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,24,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,25,1,0,0.15,0.9225000000000002,0.2,0.0024999999999999467
ieee9,25,1,1,0.1,0.9125000000000002,0.15,0.0
ieee9,25,1,2,0.05,0.9150000000000001,0.075,0.0
ieee9,25,1,3,0.05,0.9075000000000002,0.075,0.0
ieee9,25,1,4,0.05,0.9312500000000001,0.075,0.0
ieee9,25,1,5,0.3,0.9150000000000001,0.05,0.007499999999999951
ieee9,25,1,6,0.05,0.9575000000000002,0.075,0.0012499999999999734
ieee9,25,1,7,0.3,0.9225000000000001,0.05,0.003750000000000142
ieee9,25,1,8,0.05,0.9350000000000002,0.2,0.0025000000000000577
ieee9,26,1,0,0.2,0.9125000000000001,0.15,0.0012500000000000844
ieee9,26,1,1,0.2,0.9262500000000002,0.3,0.0
ieee9,26,1,2,0.3,0.9212500000000001,0.05,0.0012499999999999734
ieee9,26,1,3,0.05,0.9100000000000001,0.075,0.0
ieee9,26,1,4,0.05,0.9387500000000002,0.075,0.0
ieee9,26,1,5,0.3,0.9162500000000001,0.2,0.010000000000000009
ieee9,26,1,6,0.05,0.9387500000000002,0.075,0.0024999999999999467
ieee9,26,1,7,0.3,0.9287500000000002,0.2,0.016249999999999987
ieee9,26,1,8,0.15,0.9212500000000001,0.2,0.0
ieee9,27,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,27,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,27,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,27,1,3,0.05,0.9012500000000001,0.075,0.0
ieee9,27,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,27,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,27,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,27,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,27,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,28,1,0,0.3,1.0000000000000002,0.2,0.17500000000000004
ieee9,28,1,1,0.1,1.2125000000000001,0.15,0.0
ieee9,28,1,2,0.15,0.9875000000000002,0.2,0.0
ieee9,28,1,3,0.05,0.9875000000000002,0.075,0.0
ieee9,28,1,4,0.05,1.0625000000000002,0.075,0.0
ieee9,28,1,5,0.2,1.0750000000000002,0.05,0.012500000000000178
ieee9,28,1,6,0.05,1.2625000000000002,0.075,0.0
ieee9,28,1,7,0.3,1.0875000000000001,0.05,0.03749999999999987
ieee9,28,1,8,0.05,1.425,0.075,0.0
ieee9,29,1,0,0.2,1.06875,0.3,0.0625
ieee9,29,1,1,0.05,0.9625000000000001,0.075,0.0
ieee9,29,1,2,0.3,1.06875,0.2,0.03125
ieee9,29,1,3,0.05,0.9562500000000002,0.075,0.0
ieee9,29,1,4,0.075,1.05,0.1,0.0
ieee9,29,1,5,0.3,1.09375,0.2,0.05625000000000013
ieee9,29,1,6,0.05,0.9875000000000002,0.075,0.0
ieee9,29,1,7,0.05,0.9812500000000001,0.075,0.0
ieee9,29,1,8,0.05,0.9612500000000002,0.075,0.0
ieee9,30,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,30,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,30,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,30,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,30,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,30,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,30,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,30,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,30,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,31,1,0,0.2,0.9275000000000002,0.15,0.0012499999999999734
ieee9,31,1,1,0.3,0.9200000000000002,0.05,0.0012499999999999734
ieee9,31,1,2,0.05,0.9187500000000002,0.075,0.0
ieee9,31,1,3,0.05,0.9150000000000001,0.075,0.0
ieee9,31,1,4,0.05,0.9425000000000001,0.075,0.0
ieee9,31,1,5,0.3,0.9187500000000002,0.2,0.008750000000000036
ieee9,31,1,6,0.05,0.9600000000000002,0.075,0.0024999999999999467
ieee9,31,1,7,0.3,0.9362500000000002,0.05,0.0024999999999999467
ieee9,31,1,8,0.05,0.9325000000000001,0.15,0.0025000000000000577
ieee9,32,1,0,0.075,0.9212500000000001,0.1,0.0024999999999999467
ieee9,32,1,1,0.05,0.9162500000000001,0.075,0.0
ieee9,32,1,2,0.3,0.9250000000000002,0.15,0.0024999999999999467
ieee9,32,1,3,0.3,0.9150000000000001,0.15,0.010000000000000009
ieee9,32,1,4,0.1,0.9512500000000002,0.15,0.0
ieee9,32,1,5,0.3,0.9262500000000001,0.15,0.008750000000000036
ieee9,32,1,6,0.05,0.9412500000000001,0.075,0.0012499999999999734
ieee9,32,1,7,0.05,0.9337500000000002,0.075,0.0024999999999999467
ieee9,32,1,8,0.075,0.9437500000000001,0.1,0.0
ieee9,33,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,33,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,33,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,33,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,33,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,33,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,33,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,33,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,33,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,34,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,34,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,34,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,34,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,34,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,34,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,34,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,34,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,34,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,35,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,35,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,35,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,35,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,35,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,35,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,35,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,35,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,35,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,36,1,0,0.15,0.9000000000000001,0.2,0.0
ieee9,36,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,36,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,36,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,36,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,36,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,36,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,36,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,36,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,37,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,37,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,37,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,37,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,37,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,37,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,37,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,37,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,37,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,38,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,38,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,38,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,38,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,38,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,38,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,38,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,38,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,38,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,39,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,39,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,39,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,39,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,39,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,39,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,39,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,39,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,39,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,40,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,40,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,40,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,40,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,40,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,40,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,40,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,40,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,40,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,41,1,0,0.3,0.9000000000000001,0.075,0.006250000000000089
ieee9,41,1,1,0.05,0.9062500000000001,0.075,0.0
ieee9,41,1,2,0.05,0.9025000000000001,0.075,0.0
ieee9,41,1,3,0.05,0.9012500000000001,0.075,0.0
ieee9,41,1,4,0.05,0.9087500000000002,0.075,0.0
ieee9,41,1,5,0.15,0.9000000000000001,0.2,0.0050000000000000044
ieee9,41,1,6,0.3,0.9000000000000001,0.05,0.0024999999999999467
ieee9,41,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,41,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,42,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,42,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,42,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,42,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,42,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,42,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,42,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,42,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,42,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,43,1,0,0.2,0.9312500000000001,0.3,0.018749999999999933
ieee9,43,1,1,0.05,0.9750000000000001,0.075,0.0
ieee9,43,1,2,0.05,0.9812500000000001,0.075,0.0
ieee9,43,1,3,0.05,0.9125000000000001,0.075,0.0
ieee9,43,1,4,0.3,0.9437500000000002,0.2,0.006249999999999978
ieee9,43,1,5,0.3,1.0187500000000003,0.2,0.006249999999999867
ieee9,43,1,6,0.05,0.9500000000000002,0.075,0.018750000000000044
ieee9,43,1,7,0.1,0.9375000000000001,0.05,0.006249999999999978
ieee9,43,1,8,0.05,0.9125000000000001,0.075,0.0
ieee9,44,1,0,0.15,0.9000000000000001,0.2,0.0
ieee9,44,1,1,0.05,0.9012500000000001,0.075,0.0
ieee9,44,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,44,1,3,0.05,0.9012500000000001,0.075,0.0
ieee9,44,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,44,1,5,0.15,0.9000000000000001,0.2,0.0
ieee9,44,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,44,1,7,0.05,0.9000000000000001,0.075,0.0
ieee9,44,1,8,0.05,0.9000000000000001,0.075,0.0
ieee9,45,1,0,0.075,0.9000000000000001,0.1,0.0
ieee9,45,1,1,0.05,0.9000000000000001,0.075,0.0
ieee9,45,1,2,0.05,0.9000000000000001,0.075,0.0
ieee9,45,1,3,0.05,0.9000000000000001,0.075,0.0
ieee9,45,1,4,0.05,0.9000000000000001,0.075,0.0
ieee9,45,1,5,0.05,0.9000000000000001,0.075,0.0
ieee9,45,1,6,0.05,0.9000000000000001,0.075,0.0
ieee9,45,1,7,0.05,0.9000000000000001,0.075,0.0
