method,theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions
stage2_dad,0,32,"[12, 36, 21]","[4.158369871969058, 4.849497576105338, 4.030803468589926]",0.96,0.0,0.96,True,0.0063828397542238235,0,0,nan
stage2_dad,1,33,"[12, 37, 21]","[7.419257875877484, 1.7957885092469994, 7.484499164910761]",0.96,0.0,0.96,True,0.006393694900907576,0,0,nan
stage2_dad,2,34,"[12, 37, 21]","[7.519139363207715, 3.0433833504928955, 7.5131112529769295]",0.96,0.0,0.96,True,0.0055877054983284324,0,0,nan
stage2_dad,3,35,"[12, 37, 21]","[6.1077615843939315, 3.6196678548697068, 5.951617297492797]",0.96,0.0,0.96,True,0.005651419865898788,0,0,nan
stage2_dad,4,36,"[12, 43, 36]","[11.996860012023815, 0.9095550177413669, 10.738623534985065]",1.11,0.32,0.79,True,0.005367331701563671,0,0,nan
stage2_dad,5,37,"[12, 37, 21]","[8.170640905965259, 2.3166727081926464, 8.242526039152105]",0.99,0.0,0.99,True,0.0053961920202709734,0,0,nan
stage2_dad,6,38,"[12, 36, 21]","[4.488315284729642, 8.034675067102189, 4.546065914008614]",0.96,0.0,0.96,True,0.005446754628792405,0,0,nan
stage2_dad,7,39,"[12, 37, 21]","[6.780237823584641, 1.666115931712322, 6.979054829445187]",1.0,0.0,1.0,True,0.005504096363438293,0,0,nan
stage2_dad,8,40,"[12, 36, 21]","[5.4660237796639874, 3.4191999276824308, 5.530025936884321]",0.96,0.0,0.96,True,0.0054735228477511555,0,0,nan
stage2_dad,9,41,"[12, 36, 21]","[4.570405035494748, 6.872084406647548, 4.626325138487407]",0.96,0.0,0.96,True,0.005425219365861267,0,0,nan
stage2_dad,10,42,"[12, 37, 21]","[6.145974150948648, 3.448455650555293, 6.378459629263792]",1.04,0.0,1.04,True,0.005684497737092897,0,0,nan
stage2_dad,11,43,"[12, 36, 21]","[4.242602498841646, 3.9351384468984976, 4.278234721650043]",0.96,0.0,0.96,True,0.005660674185492098,0,0,nan
stage2_dad,12,44,"[12, 37, 21]","[6.903920491818602, 3.2514670230578893, 6.863594988374685]",0.96,0.0,0.96,True,0.005612374632619321,0,0,nan
stage2_dad,13,45,"[12, 37, 21]","[6.423867631465292, 2.03888181244987, 6.393040354264773]",0.96,0.0,0.96,True,0.005452257231809199,0,0,nan
stage2_dad,14,46,"[12, 37, 6]","[8.307145247491142, 3.549497437135918, 0.7840182261943883]",0.97,0.0,0.97,True,0.006793183711124584,0,0,nan
stage2_dad,15,47,"[12, 36, 21]","[4.750061911169429, 3.608211531323372, 4.960616530456976]",0.97,0.0,0.97,True,0.006408335262676701,0,0,nan
stage2_dad,16,48,"[12, 36, 21]","[4.887141627787162, 4.9456259377434, 4.778326794453712]",0.97,0.0,0.97,True,0.006912078999448568,0,0,nan
stage2_dad,17,49,"[12, 37, 21]","[6.200799043948192, 3.996614651934509, 6.1025942426667985]",0.98,0.0,0.98,True,0.006457492476329207,0,0,nan
stage2_dad,18,50,"[12, 37, 21]","[7.915903038453823, 1.7795148695791054, 7.774865947774035]",0.96,0.0,0.96,True,0.006379346683388576,0,0,nan
stage2_dad,19,51,"[12, 37, 21]","[8.067326805328094, 1.8351492610944153, 8.081315305871296]",0.96,0.0,0.96,True,0.006335101730655879,0,0,nan
stage2_dad,20,52,"[12, 36, 21]","[4.381940144521428, 3.8615882723361, 4.501565106649802]",0.96,0.0,0.96,True,0.005963427887763828,0,0,nan
stage2_dad,21,53,"[12, 37, 21]","[8.041745438696934, 1.671868653096807, 7.7912957524088435]",0.96,0.0,0.96,True,0.006003964605042711,0,0,nan
stage2_dad,22,54,"[12, 37, 6]","[8.364061053797482, 3.413113599258131, 0.8411137766500669]",0.97,0.08,0.89,True,0.006308108335360885,0,0,nan
stage2_dad,23,55,"[12, 37, 21]","[7.280923459224562, 1.647046771373057, 7.3966099687780185]",0.96,0.0,0.96,True,0.006155322975246236,0,0,nan
stage2_dad,24,56,"[12, 36, 21]","[5.594086514991289, 11.671663566036282, 5.528676934840345]",0.96,0.0,0.96,True,0.0060381764196790755,0,0,nan
stage2_dad,25,57,"[12, 37, 21]","[7.704177014362789, 2.987855487302847, 7.774243548889393]",0.96,0.0,0.96,True,0.006031728466041386,0,0,nan
stage2_dad,26,58,"[12, 36, 21]","[4.31463281599827, 3.6932656872268876, 4.202597005904266]",0.96,0.0,0.96,True,0.006400341750122607,0,0,nan
stage2_dad,27,59,"[12, 37, 21]","[6.985953634339288, 3.105720594899264, 7.011177430625639]",0.96,0.0,0.96,True,0.006178161274874583,0,0,nan
stage2_dad,28,60,"[12, 36, 21]","[5.721247511840776, 5.203788166123149, 5.6725020208138694]",0.96,0.0,0.96,True,0.006101356353610754,0,0,nan
stage2_dad,29,61,"[12, 36, 21]","[4.703348393010437, 4.03411634339806, 4.741784687561123]",0.96,0.0,0.96,True,0.006182910758070648,0,0,nan
stage2_dad,30,62,"[12, 36, 21]","[3.9274115939731895, 9.202302470280566, 4.244005676003486]",0.96,0.0,0.96,True,0.005983732407912612,0,0,nan
stage2_dad,31,63,"[12, 36, 21]","[5.415120629716326, 8.826132757823812, 5.436942260752075]",0.96,0.0,0.96,True,0.006006055424222723,0,0,nan
stage2_dad,0,64,"[12, 36, 21]","[3.9616096535877565, 4.903341703832184, 4.066958337408807]",0.96,0.0,0.96,True,0.006029264099197462,0,0,nan
stage2_dad,1,65,"[12, 37, 21]","[7.30350291529937, 1.6980644466487183, 7.387657604604419]",0.96,0.0,0.96,True,0.006206045218277723,0,0,nan
stage2_dad,2,66,"[12, 37, 21]","[7.535373724837672, 3.06201138362478, 7.520496659558427]",0.96,0.0,0.96,True,0.006267743621720001,0,0,nan
stage2_dad,3,67,"[12, 37, 21]","[6.103061813732508, 3.712157395866135, 5.9911703479141]",0.96,0.0,0.96,True,0.006295454368228093,0,0,nan
stage2_dad,4,68,"[12, 43, 36]","[12.03665171754306, 0.8615752707913066, 10.672946123908654]",1.11,0.32,0.79,True,0.006311121891485527,0,0,nan
stage2_dad,5,69,"[12, 37, 21]","[8.396298582212596, 2.181484216623273, 8.35457924639403]",0.97,0.0,0.97,True,0.0063461532117798924,0,0,nan
stage2_dad,6,70,"[12, 36, 21]","[4.406421875622599, 8.026657374541445, 4.497535316285922]",0.96,0.0,0.96,True,0.006372825999278575,0,0,nan
stage2_dad,7,71,"[12, 36, 21]","[6.848371989609514, 3.8776742090422194, 6.830105989288646]",1.04,0.0,1.04,True,0.00627805117983371,0,0,nan
stage2_dad,8,72,"[12, 36, 21]","[5.625129373919399, 3.4662001289865954, 5.698244898794447]",0.96,0.0,0.96,True,0.005995391256874427,0,0,nan
stage2_dad,9,73,"[12, 36, 21]","[4.607560851313558, 6.858355976334062, 4.596272497873258]",0.96,0.0,0.96,True,0.0071186929126270115,0,0,nan
stage2_dad,10,74,"[12, 37, 21]","[6.117370983910403, 3.3951643086124204, 6.370151095055192]",0.98,0.0,0.98,True,0.006381265149684623,0,0,nan
stage2_dad,11,75,"[12, 36, 21]","[4.424433737237528, 4.04367063037947, 4.318029523592477]",0.96,0.0,0.96,True,0.006031264667399228,0,0,nan
stage2_dad,12,76,"[12, 37, 21]","[7.002356169635854, 3.2180740426313656, 6.888568143182275]",0.96,0.0,0.96,True,0.006484567158622667,0,0,nan
stage2_dad,13,77,"[12, 37, 21]","[6.57845866118109, 1.9267442066513487, 6.22247890620473]",0.96,0.0,0.96,True,0.006372398609528318,0,0,nan
stage2_dad,14,78,"[12, 37, 6]","[8.466148940090134, 3.58326268095138, 0.8177834700098505]",0.97,0.0,0.97,True,0.006842110014986247,0,0,nan
stage2_dad,15,79,"[12, 36, 21]","[4.762100523901228, 3.7277533424937124, 4.660360521627987]",0.98,0.0,0.98,True,0.006188923318404704,0,0,nan
stage2_dad,16,80,"[12, 36, 21]","[4.9141870274809305, 4.967194166812096, 4.7461016980138435]",0.96,0.0,0.96,True,0.006381510989740491,0,0,nan
stage2_dad,17,81,"[12, 37, 21]","[6.151944528812175, 3.954546004727253, 6.267761032754507]",0.97,0.0,0.97,True,0.006890825374284759,0,0,nan
stage2_dad,18,82,"[12, 37, 21]","[7.987470084667409, 1.818722001170627, 7.943938043739559]",0.96,0.0,0.96,True,0.00645374771556817,0,0,nan
stage2_dad,19,83,"[12, 37, 21]","[8.179526437067672, 1.8999763835310826, 8.185041652257672]",0.96,0.0,0.96,True,0.006425884639611468,0,0,nan
stage2_dad,20,84,"[12, 36, 21]","[4.53518444882061, 3.76245363472609, 4.477280993637933]",0.96,0.0,0.96,True,0.006520774448290467,0,0,nan
stage2_dad,21,85,"[12, 37, 21]","[7.772627746189609, 1.7248429311437097, 7.837428938055856]",0.96,0.0,0.96,True,0.006353280623443425,0,0,nan
stage2_dad,22,86,"[12, 37, 6]","[8.239300978061847, 3.480838855713998, 0.9088390331059343]",0.97,0.08,0.89,True,0.006327007373329252,0,0,nan
stage2_dad,23,87,"[12, 37, 21]","[7.21325269317944, 1.7989817399115209, 7.288993268519114]",0.96,0.0,0.96,True,0.006390482740243897,0,0,nan
stage2_dad,24,88,"[12, 36, 21]","[5.601986122322158, 11.738879616345915, 5.497197724356934]",0.96,0.0,0.96,True,0.00633976625977084,0,0,nan
stage2_dad,25,89,"[12, 37, 21]","[7.7453454725421675, 3.1075363594376095, 7.663429231343123]",0.96,0.0,0.96,True,0.006218770460691303,0,0,nan
stage2_dad,26,90,"[12, 36, 21]","[4.2260405909212295, 3.7621646748158097, 4.100908704269197]",0.96,0.0,0.96,True,0.005809730268083513,0,0,nan
stage2_dad,27,91,"[12, 37, 21]","[7.170823631745273, 3.0224655490034915, 7.032143209110748]",0.96,0.0,0.96,True,0.006318683095742017,0,0,nan
stage2_dad,28,92,"[12, 36, 21]","[5.7488063052496, 5.13934331829847, 5.743454298512875]",0.96,0.0,0.96,True,0.006367417488945648,0,0,nan
stage2_dad,29,93,"[12, 36, 21]","[4.674460884116474, 4.07948724655785, 4.694619716427212]",0.99,0.0,0.99,True,0.006273434672039002,0,0,nan
stage2_dad,30,94,"[12, 36, 21]","[4.149447526901319, 8.895221275627993, 4.335506640341389]",0.96,0.0,0.96,True,0.006287352385697886,0,0,nan
stage2_dad,31,95,"[12, 36, 21]","[5.512967923070895, 8.858189170702026, 5.444905012908427]",0.96,0.0,0.96,True,0.006316851533483714,0,0,nan
stage2_dad,0,96,"[12, 36, 21]","[4.177635312522134, 4.849095696846955, 4.017649604795188]",0.96,0.0,0.96,True,0.007058059505652636,0,0,nan
stage2_dad,1,97,"[12, 37, 21]","[7.494212907672349, 1.715695704250045, 7.432663702151079]",0.96,0.0,0.96,True,0.007225998386275023,0,0,nan
stage2_dad,2,98,"[12, 37, 21]","[7.485683855547725, 3.1943281655477507, 7.463727855449]",0.96,0.0,0.96,True,0.007098232134012505,0,0,nan
stage2_dad,3,99,"[12, 36, 21]","[5.97773606952636, 6.333870232604955, 5.990006815075679]",0.96,0.0,0.96,True,0.007045637437840924,0,0,nan
stage2_dad,4,100,"[12, 43, 36]","[11.95233476312947, 0.8772125308271533, 10.64247432233802]",1.11,0.32,0.79,True,0.007084708224283531,0,0,nan
stage2_dad,5,101,"[12, 37, 21]","[8.201507956297947, 2.334051497538639, 8.309441706147094]",0.97,0.0,0.97,True,0.007058105256874114,0,0,nan
stage2_dad,6,102,"[12, 36, 21]","[4.570591034917326, 8.122789391022993, 4.726706039510951]",0.96,0.0,0.96,True,0.00703652499942109,0,0,nan
stage2_dad,7,103,"[12, 37, 21]","[6.92575692440246, 1.498732667915795, 6.939041882092973]",1.0,0.0,1.0,True,0.007057887502014637,0,0,nan
stage2_dad,8,104,"[12, 36, 21]","[5.598467718564857, 3.316182853513151, 5.654184874478069]",0.96,0.0,0.96,True,0.007002612081123516,0,0,nan
stage2_dad,9,105,"[12, 36, 21]","[4.4829109463344645, 6.8941491180725984, 4.615279667916126]",0.96,0.0,0.96,True,0.007094149332260713,0,0,nan
stage2_dad,10,106,"[12, 36, 21]","[6.469832239445447, 3.908971098302518, 6.303018077552181]",1.06,0.0,1.06,True,0.007163385977037251,0,0,nan
stage2_dad,11,107,"[12, 36, 21]","[4.2450074951821435, 3.796380667669336, 4.3151608597532425]",0.97,0.0,0.97,True,0.0071111889847088605,0,0,nan
stage2_dad,12,108,"[12, 37, 21]","[6.935726634249112, 3.154129931954843, 6.967523918618231]",0.96,0.0,0.96,True,0.007131394260795787,0,0,nan
stage2_dad,13,109,"[12, 37, 21]","[6.3955031137258, 1.9214919464527982, 6.330590956943589]",0.98,0.0,0.98,True,0.0067706305417232215,0,0,nan
stage2_dad,14,110,"[12, 37, 6]","[8.360344401750803, 3.5905276452977613, 0.8250484343562314]",0.97,0.0,0.97,True,0.006284038245212287,0,0,nan
stage2_dad,15,111,"[12, 36, 21]","[4.7284308096791845, 3.7753425113890127, 4.8460886526664035]",0.96,0.0,0.96,True,0.006206873280461878,0,0,nan
stage2_dad,16,112,"[12, 36, 21]","[4.764477597155109, 4.77658902418827, 5.036019294586249]",0.97,0.0,0.97,True,0.006247356999665499,0,0,nan
stage2_dad,17,113,"[12, 37, 21]","[6.220942932758284, 4.0419522045843985, 6.216183681839445]",0.96,0.0,0.96,True,0.005928305123234168,0,0,nan
stage2_dad,18,114,"[12, 37, 21]","[7.7424981687001715, 1.7090727071763483, 7.858090903016468]",0.96,0.0,0.96,True,0.006322725239442661,0,0,nan
stage2_dad,19,115,"[12, 37, 21]","[8.314110274100571, 1.9840173891965187, 8.13786600313878]",0.96,0.0,0.96,True,0.006822197057772428,0,0,nan
stage2_dad,20,116,"[12, 36, 21]","[4.536745609909977, 3.7987402288782786, 4.547171278523143]",0.98,0.0,0.98,True,0.007185469730757177,0,0,nan
stage2_dad,21,117,"[12, 37, 21]","[7.8903581280457855, 1.6854851811430531, 7.755655032336893]",0.99,0.0,0.99,True,0.007574544026283547,0,0,nan
stage2_dad,22,118,"[12, 37, 6]","[8.148739076596403, 3.5441057825681237, 0.9721059599600594]",0.96,0.08,0.88,True,0.006740008160704747,0,0,nan
stage2_dad,23,119,"[12, 37, 21]","[7.234102232579215, 1.7578765726302035, 7.178305630832493]",0.96,0.0,0.96,True,0.007168943819124252,0,0,nan
stage2_dad,24,120,"[12, 36, 21]","[5.430536043908833, 11.567818801820069, 5.450841121014817]",0.96,0.0,0.96,True,0.007772980636218563,0,0,nan
stage2_dad,25,121,"[12, 37, 21]","[7.640993392359831, 2.9156168770973996, 7.858421397901519]",0.96,0.0,0.96,True,0.007057391369016841,0,0,nan
stage2_dad,26,122,"[12, 36, 21]","[4.201794327312875, 3.8538088764572582, 4.310519365482035]",0.96,0.0,0.96,True,0.006353343225782737,0,0,nan
stage2_dad,27,123,"[12, 37, 21]","[7.050660258488863, 3.1458927288771523, 7.002438840856879]",0.96,0.0,0.96,True,0.006314697995549068,0,0,nan
stage2_dad,28,124,"[12, 36, 21]","[5.695559813770931, 5.190746309454778, 5.765628594505167]",0.96,0.0,0.96,True,0.006269814999541268,0,0,nan
stage2_dad,29,125,"[12, 36, 21]","[4.78901036175411, 4.1269774995522885, 4.615633622588848]",0.96,0.0,0.96,True,0.006381258659530431,0,0,nan
stage2_dad,30,126,"[12, 36, 21]","[4.149350745326418, 8.963447501711322, 4.158255271842743]",0.96,0.0,0.96,True,0.006432757101720199,0,0,nan
stage2_dad,31,127,"[12, 36, 21]","[5.5252167692487, 8.878084943939557, 5.374402299059016]",0.96,0.0,0.96,True,0.006465085665695369,0,0,nan
stage2_dad,0,128,"[12, 36, 21]","[4.1315139206812335, 4.677336223749161, 4.244039730094393]",0.96,0.0,0.96,True,0.006359387043630704,0,0,nan
stage2_dad,1,129,"[12, 37, 21]","[7.380355038704433, 1.8772978723072558, 7.430009842577193]",0.96,0.0,0.96,True,0.0063634215912315995,0,0,nan
stage2_dad,2,130,"[12, 37, 21]","[7.529973002036634, 3.076683873686247, 7.425403950394876]",0.96,0.0,0.96,True,0.006398941681254655,0,0,nan
stage2_dad,3,131,"[12, 37, 21]","[6.03440922493077, 3.563821714176929, 6.003851745237546]",0.96,0.0,0.96,True,0.006478884082753211,0,0,nan
stage2_dad,4,132,"[12, 43, 36]","[11.8298466560563, 0.7848381741127806, 10.697482602660731]",1.11,0.32,0.79,True,0.006491466774605215,0,0,nan
stage2_dad,5,133,"[12, 37, 21]","[8.318973047289695, 2.245167564643258, 8.34507452909691]",0.97,0.0,0.97,True,0.006373181036906317,0,0,nan
stage2_dad,6,134,"[12, 36, 21]","[4.672464328682226, 8.010835001700636, 4.31496934807836]",0.96,0.0,0.96,True,0.006347516900859773,0,0,nan
stage2_dad,7,135,"[12, 36, 21]","[6.898242138445381, 3.8123705153610405, 6.9166684074935505]",1.0,0.0,1.0,True,0.006340043386444449,0,0,nan
stage2_dad,8,136,"[12, 36, 21]","[5.524346259107467, 3.1841491262243693, 5.653481845786932]",0.96,0.0,0.96,True,0.006411785288946703,0,0,nan
stage2_dad,9,137,"[12, 36, 21]","[4.531859377009546, 6.86857517663388, 4.579712377863537]",0.96,0.0,0.96,True,0.006426346430089325,0,0,nan
stage2_dad,10,138,"[12, 37, 21]","[6.3675979825174895, 3.405255900569329, 6.288357707388643]",0.98,0.0,0.98,True,0.006494969828054309,0,0,nan
stage2_dad,11,139,"[12, 36, 21]","[4.442815640900742, 3.836941928368314, 4.163113519958578]",0.96,0.0,0.96,True,0.006420578982215375,0,0,nan
stage2_dad,12,140,"[12, 36, 21]","[6.892085467669776, 3.114320738832545, 6.871918348923905]",0.96,0.0,0.96,True,0.005979218374704942,0,0,nan
stage2_dad,13,141,"[12, 37, 21]","[6.257763247083106, 1.9472456485728886, 6.33283781147911]",0.96,0.0,0.96,True,0.006201364827575162,0,0,nan
stage2_dad,14,142,"[12, 37, 6]","[8.357637034190871, 3.5589513136677073, 0.7934721027261779]",0.97,0.0,0.97,True,0.006299152970314026,0,0,nan
stage2_dad,15,143,"[12, 36, 21]","[4.782434094353129, 3.6342228226298126, 4.894929326047309]",0.98,0.0,0.98,True,0.006373994197929278,0,0,nan
stage2_dad,16,144,"[12, 36, 21]","[4.752306596530669, 4.932572612880438, 5.021580060609688]",0.96,0.0,0.96,True,0.006433983478927985,0,0,nan
stage2_dad,17,145,"[12, 37, 21]","[6.228285097495686, 3.9457316659967323, 6.269711928521158]",0.96,0.0,0.96,True,0.006415892887162045,0,0,nan
stage2_dad,18,146,"[12, 37, 21]","[7.924421188055903, 1.7723598691229752, 7.996289008609259]",0.96,0.0,0.96,True,0.006359653896652162,0,0,nan
stage2_dad,19,147,"[12, 37, 21]","[8.208673247188928, 1.8691255235133915, 8.04971621448743]",0.96,0.0,0.96,True,0.00633251472027041,0,0,nan
stage2_dad,20,148,"[12, 36, 21]","[4.529041788354319, 3.789761713008358, 4.640241905507305]",0.98,0.0,0.98,True,0.006504424993181601,0,0,nan
stage2_dad,21,149,"[12, 37, 21]","[7.850071898808048, 1.5481319494036698, 7.884076771972735]",0.99,0.0,0.99,True,0.006366718036588281,0,0,nan
stage2_dad,22,150,"[12, 37, 6]","[8.207909072394662, 3.5415378230320167, 0.9695380004239528]",0.99,0.08,0.91,True,0.0063643777393735945,0,0,nan
stage2_dad,23,151,"[12, 37, 21]","[7.263443188918016, 1.5784559732913659, 7.288034312772809]",0.96,0.0,0.96,True,0.006371476483764127,0,0,nan
stage2_dad,24,152,"[12, 36, 21]","[5.484730899287883, 11.567305129192214, 5.464484474048533]",0.96,0.0,0.96,True,0.00625339025282301,0,0,nan
stage2_dad,25,153,"[12, 37, 21]","[7.784846883440895, 3.038433304429816, 7.688889003145803]",0.96,0.0,0.96,True,0.00631439610151574,0,0,nan
stage2_dad,26,154,"[12, 36, 21]","[4.2923875317606255, 3.837190890313023, 4.180174230683151]",0.96,0.0,0.96,True,0.005973288498353213,0,0,nan
stage2_dad,27,155,"[12, 37, 21]","[7.020215883905702, 3.0996959945500957, 7.118745144279925]",0.96,0.0,0.96,True,0.006391795963281766,0,0,nan
stage2_dad,28,156,"[12, 36, 21]","[5.923851288332371, 5.171461155791158, 5.824698917170235]",0.96,0.0,0.96,True,0.00638791752862744,0,0,nan
stage2_dad,29,157,"[12, 36, 21]","[4.7677186952679245, 3.9681867429744515, 4.715549768496546]",0.98,0.0,0.98,True,0.006466395716415718,0,0,nan
stage2_dad,30,158,"[12, 36, 21]","[4.168308445298783, 8.926993196215395, 4.230826179308691]",0.96,0.0,0.96,True,0.00754164534737356,0,0,nan
stage2_dad,31,159,"[12, 36, 21]","[5.508922665202827, 8.84567534400382, 5.286687095171262]",0.96,0.0,0.96,True,0.007759022177197039,0,0,nan
stage2_dad,0,160,"[12, 36, 21]","[4.147847493109083, 4.777711613925973, 4.02032049180654]",0.96,0.0,0.96,True,0.007398104760795832,0,0,nan
stage2_dad,1,161,"[12, 37, 21]","[7.339641093786133, 1.739715302815042, 7.3486958829063225]",0.96,0.0,0.96,True,0.007281273254193366,0,0,nan
stage2_dad,2,162,"[12, 37, 21]","[7.554199014810602, 3.256953233098443, 7.451106866072365]",0.96,0.0,0.96,True,0.0066541622509248555,0,0,nan
stage2_dad,3,163,"[12, 36, 21]","[6.014163624538977, 6.396321589627115, 6.005167392703687]",0.96,0.0,0.96,True,0.00645239427103661,0,0,nan
stage2_dad,4,164,"[12, 43, 36]","[11.85760315475058, 0.8304389804312786, 10.544865372825305]",1.11,0.32,0.79,True,0.006443373014917597,0,0,nan
stage2_dad,5,165,"[12, 37, 21]","[8.175079692116661, 2.237537253113835, 8.316431951975623]",0.97,0.0,0.97,True,0.006337467988487333,0,0,nan
stage2_dad,6,166,"[12, 36, 21]","[4.5656521715724505, 8.027965750132735, 4.487608809478966]",0.96,0.0,0.96,True,0.005934252345468849,0,0,nan
stage2_dad,7,167,"[12, 37, 21]","[7.011021553533872, 1.5605281553048345, 6.8129035345429605]",1.0,0.0,1.0,True,0.00635591775062494,0,0,nan
stage2_dad,8,168,"[12, 36, 21]","[5.66928128921938, 3.460054101537518, 5.655526814003508]",0.96,0.0,0.96,True,0.006277991633396596,0,0,nan
stage2_dad,9,169,"[12, 36, 21]","[4.546386313473257, 6.77611770058867, 4.474002000019461]",0.96,0.0,0.96,True,0.0062747959746047854,0,0,nan
stage2_dad,10,170,"[12, 37, 21]","[6.300722887717437, 3.1952414812330483, 6.298025247627841]",1.0,0.0,1.0,True,0.00630740710766986,0,0,nan
