system,particle_count,support_seed,J_adaptive,J_common,Delta_adaptive,ci95_low,ci95_high,Fixed_objective,adaptive_reference_objective,case_classification,bus_case_classification,bus_case_note,n_histories,n_xi1_groups,n_unique_optimal_design
ieee5,128,303,0.899765625,0.899765625,0.0,0.0,0.0,1.0,0.899765625,B,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,30,13
ieee5,256,303,0.9015364583333335,0.9015364583333335,0.0,0.0,0.0,1.0,0.9015364583333335,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,30,14
ieee5,512,303,0.9085416666666667,0.9085416666666667,0.0,0.0,0.0,1.0,0.9085416666666667,D,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,10
ieee5,1024,303,0.9050520833333333,0.9050520833333333,0.0,0.0,0.0,1.0,0.9050520833333333,D,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,10
ieee5,2048,303,0.906171875,0.906171875,0.0,0.0,0.0,1.0,0.906171875,B,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,10
ieee5,128,404,0.8891145833333333,0.8891145833333333,0.0,0.0,0.0,1.0,0.8891145833333333,B,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,30,14
ieee5,256,404,0.8936458333333335,0.8936458333333335,0.0,0.0,0.0,1.0,0.8936458333333335,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,30,15
ieee5,512,404,0.8980208333333334,0.8980208333333334,0.0,0.0,0.0,1.0,0.8980208333333334,B,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,13
ieee5,1024,404,0.904765625,0.904765625,0.0,0.0,0.0,1.0,0.904765625,B,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,11
ieee5,2048,404,0.9078125,0.9078125,0.0,0.0,0.0,1.0,0.9078125,B,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,9
ieee5,128,505,0.9047395833333333,0.9047395833333333,0.0,0.0,0.0,1.0,0.9047395833333333,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,30,14
ieee5,256,505,0.9122135416666668,0.9122135416666668,0.0,0.0,0.0,1.0,0.9122135416666668,D,BUS-B,"bus branches with non-trivial particle-reference regret, but four-way terminal decomp is not re-run here; label BUS-B (+ BUS-E for policy). Matches prior study rule that terminal adaptive-bus value must beat Fixed.",120,30,15
ieee5,512,505,0.9026302083333334,0.9026302083333334,0.0,0.0,0.0,1.0,0.9026302083333334,D,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,12
ieee5,1024,505,0.9080208333333334,0.9080208333333334,0.0,0.0,0.0,1.0,0.9080208333333334,B,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,9
ieee5,2048,505,0.9095312500000001,0.9095312500000001,0.0,0.0,0.0,1.0,0.9095312500000001,B,BUS-B,nominal bus branching with near-zero reference regret; also BUS-E,120,30,12
